OTU	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL60	SMPL61	SMPL62	SMPL63	SMPL64	SMPL65	SMPL66	SMPL67	SMPL68	SMPL69	SMPL70	SMPL71	SMPL72	SMPL73	SMPL74	SMPL75	SMPL76	SMPL77	SMPL78	SMPL79	SMPL80	SMPL81	SMPL82	SMPL83	SMPL84	SMPL85	SMPL86	SMPL87	SMPL88	SMPL89	SMPL90	SMPL91	SMPL92	SMPL93	SMPL94	SMPL95	SMPL96	SMPL97	SMPL98	SMPL99	SMPL100	SMPL101	SMPL102	SMPL103	SMPL104	SMPL105	SMPL106	SMPL107
OTU_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	1202	44	0	0	13	5	0	1	0	0	0	1316	0	0	0	0	0	0	0	0	0	0	0	0	122	1415	3633	4767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3581	193	0	0	0	4	1	0	0	47	171	0	0	0	0	8044	0	0	35	0	0	0	0	0	0	0	116	630	0	0	16	1198	0	0	0	3	0	1906	0	0	0	0	0	0	0	155	0	0
OTU_37	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	107	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_38	0	0	0	4	0	0	0	0	81	0	0	0	0	0	1	766	0	0	0	13	2	0	6	1	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	1909	2564	14619	0	0	1	0	0	0	0	0	0	2	1676	0	0	0	0	54	0	124	0	3	13	0	0	1	0	0	18	1638	506	0	0	0	0	0	0	156	0	0	0	0	2	0	117	3	3304	0	0	85	182	0	2	0	0	0	0	0	0	0	0	0	0	0	203	0	0
OTU_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11746	0	3987	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	12030	0	1	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_40	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1283	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	300	0	0	0	9	9	6	0	0	0	0	428	0	0	0	0	0	0	0	23910	0	0
OTU_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	26256	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	61	0	88	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10710	0	3816	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	1	0	11233	1	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_43	0	0	0	0	0	0	0	0	747	0	0	0	0	0	0	0	0	0	0	23156	0	0	0	0	0	0	1188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_44	0	0	0	58	0	0	0	0	0	0	0	0	0	0	10	74	0	0	0	0	18	0	0	0	0	0	3279	0	0	0	0	0	0	0	0	0	0	0	0	188	2620	2858	416	2	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	71	100	15	14	56	0	103	78	0	0	24	579	2524	0	0	0	0	0	0	21	7687	0	0	0	0	0	13	446	914	0	0	776	77	17	0	0	1	0	0	0	0	0	0	0	72	0	119	0	0
OTU_45	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	21	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	19810	0	1	0	0	0	0	0	0	0	0	0	0	0	3088
